Frame, SubFrame, COPx(mm), COPy(mm)
1,0,114.18,247.49
1,1,113.46,246.55
1,2,113.74,248.08
1,3,113.41,248.2
1,4,113.88,247.85
2,0,113.83,249.13
2,1,113.83,248.19
2,2,114.11,248.3
2,3,114.4,248.31
2,4,114.82,247.38
3,0,114.62,249.23
3,1,113.97,247.9
3,2,114.43,248.36
3,3,114.38,248.23
3,4,114.24,248.54
4,0,114.8,247.36
4,1,114.57,249.2
4,2,115.03,246.9
4,3,115.08,248.89
4,4,114.37,247.72
5,0,114.61,248.64
5,1,114.6,248.24
5,2,115.62,248.11
5,3,115.22,248.18
5,4,115.38,249.17
6,0,115.39,246.83
6,1,116.09,247.76
6,2,115.03,248.08
6,3,115.22,248.54
6,4,114.13,247.9
7,0,115.8,248.41
7,1,115.24,248.19
7,2,115.19,248.19
7,3,115.01,248.37
7,4,115.8,247.9
8,0,115.11,247.15
8,1,115.38,248.49
8,2,114.86,248.49
8,3,115.59,247.44
8,4,115.61,248.19
9,0,115.52,247.26
9,1,115.93,248.48
9,2,116.41,247.43
9,3,115.85,248.03
9,4,116.12,247.8
10,0,115.71,247.86
10,1,116.02,247.67
10,2,115.83,248.91
10,3,115.9,247.27
10,4,116.23,248.68
11,0,115.86,247.52
11,1,116.15,247.93
11,2,116.44,247.47
11,3,116.23,248.23
11,4,116.05,246.82
12,0,116.66,248.99
12,1,115.61,247.42
12,2,116.56,248.76
12,3,115.38,247.78
12,4,117.18,248.89
13,0,116.07,247.96
13,1,117.11,247.33
13,2,116.39,247.37
13,3,116.87,247.71
13,4,116.52,246.48
14,0,116.93,248.07
14,1,115.91,247.14
14,2,116.91,247.67
14,3,117.16,247.54
14,4,117.27,246.32
15,0,116.79,248.34
15,1,116.68,247.14
15,2,116.74,246.14
15,3,116.78,246.67
15,4,116.9,246.37
16,0,117.39,247.32
16,1,116.71,247.08
16,2,117.38,244.94
16,3,117.63,246.43
16,4,116.67,246.97
17,0,116.91,246.5
17,1,117.03,246.38
17,2,117.1,245.78
17,3,117.38,246.85
17,4,117.18,247.63
18,0,117.76,245.36
18,1,117.76,247.02
18,2,117.25,246.43
18,3,117.75,246.86
18,4,117.37,246.25
19,0,116.46,244.83
19,1,117.79,246.19
19,2,117.72,246.91
19,3,117.55,245.6
19,4,117.65,246.9
20,0,117.21,246.13
20,1,118.64,246.84
20,2,117.36,246.19
20,3,117.36,245.36
20,4,118.1,245.89
21,0,117.96,246.01
21,1,117.73,246.08
21,2,117.93,246.83
21,3,117.42,245.77
