Frame, SubFrame, Fx1(N), Fy1(N), Fz1(N), Fx2(N), Fy2(N), Fz2(N)
109,0,0,0,0,0,0,0
109,1,0,0,0,0,0,0
109,2,0,0,0,0,0,0
109,3,0,0,0,0,0,0
109,4,0,0,0,0,0,0
110,0,0,0,0,0,0,0
110,1,0,0,0,0,0,0
110,2,0,0,0,0,0,0
110,3,0,0,0,0,0,0
110,4,0,0,0,0,0,0
111,0,0,0,0,0,0,0
111,1,0,0,0,0,0,0
111,2,0,0,0,0,0,0
111,3,0,0,0,0,0,0
111,4,0,0,0,0,0,0
112,0,0,0,0,0,0,0
112,1,0,0,0,0,0,0
112,2,0,0,0,0,0,0
112,3,0,0,0,0,0,0
112,4,0,0,0,0,0,0
113,0,0,0,0,0,0,0
113,1,0,0,0,0,0,0
113,2,0,0,0,0,0,0
113,3,0,0,0,0,0,0
113,4,0,0,0,0,0,0
114,0,0,0,0,0,0,0
114,1,0,0,0,0,0,0
114,2,0,0,0,0,0,0
114,3,0,0,0,0,0,0
114,4,0,0,0,0,0,0
115,0,0,0,0,0,0,0
115,1,0,0,0,0,0,0
115,2,0,0,0,0,0,0
115,3,0,0,0,0,0,0
115,4,0,0,0,0,0,0
116,0,0,0,0,0,0,0
116,1,0,0,0,0,0,0
116,2,0,0,0,0,0,0
116,3,0,0,0,0,0,0
116,4,0,0,0,0,0,0
117,0,0,0,0,0,0,0
117,1,0,0,0,0,0,0
117,2,0,0,0,0,0,0
117,3,0,0,0,0,0,0
117,4,0,0,0,0,0,0
118,0,0,0,0,0,0,0
118,1,0,0,0,0,0,0
118,2,0,0,0,0,0,0
118,3,0,0,0,0,0,0
118,4,0,0,0,0,0,0
119,0,0,0,0,0,0,0
119,1,0,0,0,0,0,0
119,2,0,0,0,0,0,0
119,3,0,0,0,0,0,0
119,4,0,0,0,0,0,0
120,0,0,0,0,0,0,0
120,1,0,0,0,0,0,0
120,2,0,0,0,0,0,0
120,3,0,0,0,0,0,0
120,4,0,0,0,0,0,0
121,0,0,0,0,0,0,0
121,1,0,0,0,0,0,0
121,2,0,0,0,0,0,0
121,3,0,0,0,0,0,0
121,4,0,0,0,0,0,0
122,0,0,0,0,0,0,0
122,1,0,0,0,0,0,0
122,2,0,0,0,0,0,0
122,3,0,0,0,0,0,0
122,4,0,0,0,0,0,0
123,0,0,0,0,0,0,0
123,1,0,0,0,0,0,0
123,2,0,0,0,0,0,0
123,3,0,0,0,0,0,0
123,4,0,0,0,0,0,0
124,0,0.72681,-1.4628,-39.323,0,0,0
124,1,1.6631,-2.2451,-68.023,0,0,0
124,2,1.5853,-2.7931,-105.73,0,0,0
124,3,1.0371,-2.95,-175.22,0,0,0
124,4,-0.21253,-1.4639,-289.34,0,0,0
125,0,-0.13172,-2.2466,-444.99,0,0,0
125,1,-4.2514,-8.5068,-584.79,0,0,0
125,2,-18.915,-9.3691,-641.2,0,0,0
125,3,-29.524,-6.4751,-606.58,0,0,0
125,4,-26.624,-5.0667,-526.63,0,0,0
126,0,-27.56,-0.52907,-479.92,0,0,0
126,1,-32.327,6.7467,-492.07,0,0,0
126,2,-31.233,11.05,-514.94,0,0,0
126,3,-32.176,16.526,-506.3,0,0,0
126,4,-32.258,22.003,-461.3,0,0,0
127,0,-30.233,28.028,-414.58,0,0,0
127,1,-28.988,35.852,-405.94,0,0,0
127,2,-28.214,40.546,-432.59,0,0,0
127,3,-26.969,44.693,-453.03,0,0,0
127,4,-28.068,55.49,-451.64,0,0,0
128,0,-28.387,63.001,-432.95,0,0,0
