Frame, SubFrame, Fx1(N), Fy1(N), Fz1(N), Fx2(N), Fy2(N), Fz2(N)
412,0,0,0,0,0,0,0
412,1,0,0,0,0,0,0
412,2,0,0,0,0,0,0
412,3,0,0,0,0,0,0
412,4,0,0,0,0,0,0
413,0,0,0,0,0,0,0
413,1,0,0,0,0,0,0
413,2,0,0,0,0,0,0
413,3,0,0,0,0,0,0
413,4,0,0,0,0,0,0
414,0,0,0,0,0,0,0
414,1,0,0,0,0,0,0
414,2,0,0,0,0,0,0
414,3,0,0,0,0,0,0
414,4,0,0,0,0,0,0
415,0,0,0,0,0,0,0
415,1,0,0,0,0,0,0
415,2,0,0,0,0,0,0
415,3,0,0,0,0,0,0
415,4,0,0,0,0,0,0
416,0,0,0,0,0,0,0
416,1,0,0,0,0,0,0
416,2,0,0,0,0,0,0
416,3,0,0,0,0,0,0
416,4,0,0,0,0,0,0
417,0,0,0,0,0,0,0
417,1,0,0,0,0,0,0
417,2,0,0,0,0,0,0
417,3,0,0,0,0,0,0
417,4,0,0,0,0,0,0
418,0,0,0,0,0,0,0
418,1,0,0,0,0,0,0
418,2,0,0,0,0,0,0
418,3,0,0,0,0,0,0
418,4,0,0,0,0,0,0
419,0,0,0,0,0,0,0
419,1,0,0,0,0,0,0
419,2,0,0,0,0,0,0
419,3,0,0,0,0,0,0
419,4,0,0,0,0,0,0
420,0,0,0,0,0,0,0
420,1,0,0,0,0,0,0
420,2,0,0,0,0,0,0
420,3,0,0,0,0,0,0
420,4,0,0,0,0,0,0
421,0,0,0,0,0,0,0
421,1,0,0,0,0,0,0
421,2,0,0,0,0,0,0
421,3,0,0,0,0,0,0
421,4,0,0,0,0,0,0
422,0,0,0,0,0,0,0
422,1,0,0,0,0,0,0
422,2,0,0,0,0,0,0
422,3,0,0,0,0,0,0
422,4,0,0,0,0,0,0
423,0,0,0,0,0,0,0
423,1,0,0,0,0,0,0
423,2,0,0,0,0,0,0
423,3,0,0,0,0,0,0
423,4,0,0,0,0,0,0
424,0,0,0,0,0,0,0
424,1,0,0,0,0,0,0
424,2,0,0,0,0,0,0
424,3,0,0,0,0,0,0
424,4,0,0,0,0,0,0
425,0,0,0,0,0,0,0
425,1,0,0,0,0,0,0
425,2,0,0,0,0,0,0
425,3,0,0,0,0,0,0
425,4,0,0,0,0,0,0
426,0,0,0,0,0,0,0
426,1,0,0,0,0,0,0
426,2,0,0,0,0,0,0
426,3,0,0,0,0,0,0
426,4,0,0,0,0,0,0
427,0,0,0,0,0,0,0
427,1,0,0,0,0,0,0
427,2,0,0,0,0,0,0
427,3,0,0,0,0,0,0
427,4,0,0,0,0,0,0
428,0,0,0,0,0,0,0
428,1,0,0,0,0,0,0
428,2,0,0,0,0,0,0
428,3,0,0,0,0,0,0
428,4,0,0,0,0,0,0
429,0,0,0,0,0,0,0
429,1,0,0,0,0,0,0
429,2,0,0,0,0,0,0
429,3,0,0,0,0,0,0
429,4,0,0,0,0,0,0
430,0,0,0,0,0,0,0
430,1,0,0,0,0,0,0
430,2,0,0,0,0,0,0
430,3,0,0,0,0,0,0
430,4,0,0,0,0,0,0
431,0,0,0,0,0,0,0
431,1,0,0,0,0,0,0
431,2,0,0,0,0,0,0
431,3,0,0,0,0,0,0
431,4,0,0,0,0,0,0
432,0,0,0,0,0,0,0
432,1,0,0,0,0,0,0
432,2,0,0,0,0,0,0
432,3,0,0,0,0,0,0
432,4,0,0,0,0,0,0
433,0,0,0,0,0,0,0
433,1,0,0,0,0,0,0
433,2,0,0,0,0,0,0
433,3,0,0,0,0,0,0
433,4,0,0,0,0,0,0
434,0,0,0,0,0,0,0
434,1,0,0,0,0,0,0
434,2,0,0,0,0,0,0
434,3,0,0,0,0,0,0
434,4,0,0,0,0,0,0
435,0,0,0,0,0,0,0
435,1,0,0,0,0,0,0
435,2,0,0,0,0,0,0
435,3,0,0,0,0,0,0
435,4,0,0,0,0,0,0
436,0,0,0,0,0,0,0
436,1,0,0,0,0,0,0
436,2,0,0,0,0,0,0
436,3,0,0,0,0,0,0
436,4,0,0,0,0,0,0
437,0,0,0,0,0,0,0
437,1,0,0,0,0,0,0
437,2,0,0,0,0,0,0
437,3,0,0,0,0,0,0
437,4,0,0,0,0,0,0
438,0,0,0,0,0,0,0
438,1,0,0,0,0,0,0
438,2,0,0,0,0,0,0
438,3,0,0,0,0,0,0
438,4,0,0,0,0,0,0
439,0,0,0,0,0,0,0
439,1,0,0,0,0,0,0
439,2,0,0,0,0,0,0
439,3,0,0,0,0,0,0
439,4,0,0,0,0,0,0
440,0,0,0,0,0,0,0
440,1,0,0,0,0,0,0
440,2,0,0,0,0,0,0
440,3,0,0,0,0,0,0
440,4,0,0,0,0,0,0
441,0,0,0,0,0,0,0
441,1,0,0,0,0,0,0
441,2,0,0,0,0,0,0
441,3,0,0,0,0,0,0
441,4,0,0,0,0,0,0
442,0,0,0,0,0,0,0
442,1,0,0,0,0,0,0
442,2,0,0,0,0,0,0
